"available","availableText","brand","ean","endedDate","itemLocation","itemNumber","mpn","price","priceWithCurrency","seller","sold","subTitle","title","type","upc","url","wasPrice","wasPriceWithCurrency","whyToBuy/0","whyToBuy/1","whyToBuy/2"
,,,,,"Fort Walton Beach, Florida, United States","144670489523",,"95000","US $95,000.00","dobermanboy30",,"","2012 Mike Trout Topps Chrome Red Refractor 20/25 BGS 10 PRISTINE POP2 ROOKIE SP!","Sports Trading Card",,"https://www.ebay.com/itm/144670489523",,,"Ships from United States",,
,,,,,"Boulder, Colorado, United States","133644954261",,"95000","US $95,000.00","crankalicious",,"","2005 AARON RODGERS Topps Golden Anniversary AUTO PSA 10 Rookie RC POP 1","Sports Trading Card",,"https://www.ebay.com/itm/133644954261",,,"Ships from United States","19 watchers",
,,,,,"Madison, Wisconsin, United States","155058412424",,"95000","US $95,000.00","bmw_cards2",,"","1933-34 World Wide Gum Ice Kings #36 Howie Morenz SGC 96 / 9  Pop 1 HOBBY'S BEST","Sports Trading Card",,"https://www.ebay.com/itm/155058412424",,,"Returns accepted",,
,,,,,"Oak Ridge, New Jersey, United States","275571383136",,"95000","US $95,000.00","kriskepplersportscards",,"","1971 Topps Roberto Clemente #630 PSA 9 Pirates POP 16 11093","Sports Trading Card",,"https://www.ebay.com/itm/275571383136",,,"Ships from United States",,
,,,,,"New Castle, Delaware, United States","354442274276",,"94667.99","US $94,667.99","altsourcing",,"","Cristiano Ronaldo #46 2018 Panini Kaboom! Green /1 BGS 9.5 (0011070317)","Sports Trading Card",,"https://www.ebay.com/itm/354442274276",,,"Ships from United States","9 watchers",
,,,,,"Mountain Home, Idaho, United States","164978101085",,"95000","US $95,000.00","vincek24",,"","(8) 2011 Bowman Chrome and Draft Mike Trout RC (2) REFRACTORS","Sports Trading Card",,"https://www.ebay.com/itm/164978101085",,,"Ships from United States",,
,,,,,"San Francisco, California, United States","234631762813",,"95000","US $95,000.00","thepostgameshowdotnet",,"","⚾ 1951 BOWMAN #305 WILLIE MAYS PSA 8 NM-MT Rookie! + 1952 Topps Mickey Mantle RE","Sports Trading Card",,"https://www.ebay.com/itm/234631762813",,,"Ships from United States","21 watchers",
,,,,," CA, United States","321858681657",,"96000","US $96,000.00","pkks56",,"","1959 SADAHARU OH Hoshi Gangu gold border rookie card 868 homeruns PSA  8 oc","Sports Trading Card",,"https://www.ebay.com/itm/321858681657",,,"Ships from United States","8 watchers",
,,,,,"Largo, Florida, United States","265689765673",,"95000","US $95,000.00","buccaneers245",,"","2011 FCW Slamarama ROMAN LEAKEE Rookie Card BGS 9.5 Gem Mint Roman Reigns Pop 1",,,"https://www.ebay.com/itm/265689765673",,,"Ships from United States","15 watchers",
,,,,,"Newark, Delaware, United States","184824068915",,"95000","US $95,000.00","nailgunaccessories1",,"","2005 UD Upper Deck Ice Premiers Sidney Crosby RC Rookie 99 #106 BGS 9.5 Gem Mint","Sports Trading Card",,"https://www.ebay.com/itm/184824068915",,,"Free shipping and returns","Ships from United States","14 watchers"
,,,,,"Las Vegas, Nevada, United States","224663697057",,"94550","US $94,550.00","702robtay_2008",,"2021 FINALS MVP","GIANNIS ANTETOKOUNMPO 2013-14 PANINI SIGNATURES GREEN #354 RC SSP #2/3 BGS 9.5","Sports Trading Card",,"https://www.ebay.com/itm/224663697057",,,"Returns accepted","Ships from United States","5 watchers"
,,,,,"San Antonio, Texas, United States","134354625607",,"97900","US $97,900.00","legitbuys",,"","MBAPPE 2022 Prizm 🏅 World Cup Gold Auto 5/10 SSP PSA 9 KYLIAN France POP 1","Sports Trading Card",,"https://www.ebay.com/itm/134354625607",,,"Ships from United States","33 watchers",
,,,,,"Scottsdale, Arizona, United States","275218176149",,"95000","US $95,000.00","rarebear86",,"","2009 James Harden Rookie National Treasures RPA BGS Gold 10 Pop 2","Sports Trading Card",,"https://www.ebay.com/itm/275218176149",,,"Ships from United States","5 watchers",
,,,,,"Cypress, Texas, United States","363807146506",,"99999","US $99,999.00","btk_55",,"","2020 Select Joe Burrow Neon Orange Pulsar RPA  Jersey #/25 Color Match BGS 9","Sports Trading Card",,"https://www.ebay.com/itm/363807146506",,,"Ships from United States","6 watchers",
,,,,,"San Francisco, California, United States","334352863324",,"95000","US $95,000.00","thepostgameshowdotnet",,"","⚾ 1952 TOPPS #312 JACKIE ROBINSON SP PSA 8 Sharp 75th Anniv! + Mickey Mantle RE","Sports Trading Card",,"https://www.ebay.com/itm/334352863324",,,"Ships from United States","23 watchers",
,,,,,"Wilmington, California, United States","333850265994",,"100000","US $100,000.00","salcastjsc",,"","Kobe Bryant 1996 SB Autographed BK autographs 73/390","Sports Trading Card","Does not apply","https://www.ebay.com/itm/333850265994",,,"Ships from United States","18 watchers",
,,,,,"Scottsdale, Arizona, United States","234816728039",,"93500","US $93,500.00","tonyetrade",,"","1955 Topps #164 Roberto Clemente - PSA 8","Sports Trading Cards",,"https://www.ebay.com/itm/234816728039",,,"Returns accepted","Ships from United States",
,,,,,"7601, United States","255091642091",,"92250","US $92,250.00","sports-cards-forever",,"","1956 Topps 33 Roberto Clemente White back  Pirates PSA 8.5 25520154",,,"https://www.ebay.com/itm/255091642091",,,"Returns accepted","Ships from United States","13 watchers"
,,,,,"Madison, Wisconsin, United States","155058302415",,"95000","US $95,000.00","bmw_cards2",,"","1936-37 V304 O-Pee-Chee Series D #97 Turk Broda (HOF) Rookie Card SGC 96 / 9","Sports Trading Card",,"https://www.ebay.com/itm/155058302415",,,"Free shipping and returns","Ships from United States","5 watchers"
,,,,,"Montreal, Quebec, Canada","363676161236",,"124999","C $124,999.00","acfs-allcardsforsale",,"","2007 TOPPS TPL THRDS AUTO RELIC COMBOS 3 BRADY/PEYTON MANNING/ELWAY 1/1 PSA 8","Sports Trading Card",,"https://www.ebay.com/itm/363676161236",,,"8 watchers",,
,,,,,"Burnaby, British Columbia, Canada","193962062193",,"125000","C $125,000.00","ig_highendrookies",,"","15/16 Connor McDavid Young Guns Acetate BGS 10","Sports Trading Card",,"https://www.ebay.com/itm/193962062193",,,"104 watchers",,
,,,,,"Yorktown Heights, New York, United States","133654609023",,"91515.15","US $91,515.15","mattbergr101",,"","Patrick Mahomes RC Lot - Panini Prizm/Select Field Tri/Optic RC’s NFL Chiefs","Sports Trading Card",,"https://www.ebay.com/itm/133654609023",,,"Ships from United States","12 watchers",
,,,,,"Kissimmee, Florida, United States","394113911871",,"90000","US $90,000.00","a.j.vezina",,"","SGC (Authentic) GEORGES VEZINA 1910 Sweet Caporal Card Postcard EXTREMELY RARE","Sports Trading Card",,"https://www.ebay.com/itm/394113911871",,,"11 watchers",,
,,,,,"JJ Cards Shop - IG , Taiwan","204055105165",,"89999.95","US $89,999.95","jj_cards_shop",,"","Jayson Tatum 2017-18 Panini National Treasures ROOKIE Patch Auto RPA #/99 PSA 9","Sports Trading Card",,"https://www.ebay.com/itm/204055105165",,,"16 watchers",,
,,,,,"United States, WA, United States","175455565470",,"89999.99","US $89,999.99","noble_novelties_llc",,"","2020/21 CONTENDERS ANTHONY EDWARDS ROOKIE CHAMPIONSHIP TICKET AUTO #1/1 BGS 9 10","Sports Trading Card",,"https://www.ebay.com/itm/175455565470",,,"Ships from United States","7 watchers",
,,,,,"Hancock, Maine, United States","275191072757",,"89975","US $89,975.00","danabeal",,"","2000 Upper Deck UD Exclusives SILVER #254 Tom Brady BGS 9 SN# 90/100","Sports Trading Card",,"https://www.ebay.com/itm/275191072757",,,"Ships from United States",,
,,,,,"Clovis, California, United States","203877072020",,"89999.99","US $89,999.99","vtvsportscards",,"The ultimate investment.","2000 PLAYOFF CONTENDERS TOM BRADY ROOKIE TICKET AUTO AUTOGRAPH BGS 9. 🔥🔥🔥","Sports Trading Card",,"https://www.ebay.com/itm/203877072020",,,"Ships from United States","43 watchers",
,,,,,"Boston, Massachusetts, United States","165476139180",,"90000","US $90,000.00","jeffd1111",,"","2017 Contenders Patrick Mahomes RC AUTO GOLD 14/17 ON CARD AUTO PSA 10 POP 2!","Sports Trading Card",,"https://www.ebay.com/itm/165476139180",,,"Ships from United States","8 watchers",
,,,,,"Mahomet, Illinois, United States","265897595416",,"89995","US $89,995.00","knightlightbug",,"","1980 TOPPS RICKEY HENDERSON RC #482 Graded CSA 10 GEM MINT _ ABSOLUTELY STUNNING","Sports Trading Card","Does not apply","https://www.ebay.com/itm/265897595416",,,"Ships from United States",,
,,,,,"Passaic, New Jersey, United States","373750104037",,"89999.99","US $89,999.99","",,"POP3 Highest graded subs w/2x10 (9-10-10-9.5)","2019-20 Panini Mojo Prizm #248 Zion Williamson RC Rookie 21/25 BGS 9.5 w/ 10",,,"https://www.ebay.com/itm/373750104037",,,"Ships from United States","32 watchers",
,,,,,"Oak Ridge, New Jersey, United States","304731193168",,"91200","US $91,200.00","kriskepplersportscards",,"","1948 Bowman Stan Musial #36 Cardinals PSA 9 10510","Sports Trading Card",,"https://www.ebay.com/itm/304731193168",,,"Ships from United States",,
,,,,,"Brooklyn, New York, United States","374328884051",,"89999.95","US $89,999.95","blackjadedwolf",,"Black Box. Awesome Logo 3 CLR Patch 🔥 RC","ANTHONY EDWARDS 2020 NATIONAL TREASURES ROOKIE RPA PATCH AUTO #1/1 PSA 9 10 BOX","Sports Trading Card",,"https://www.ebay.com/itm/374328884051",,,"Ships from United States","11 watchers",
,,,,,"Brandon, Mississippi, United States","295122481748",,"90000","US $90,000.00","gwain977",,"","2000 SP Authentic Tom Brady Rookie RC BGS 9.5 (10,9.5,9.5,9.5) TRUE GEM MINT","Sports Trading Card","Does Not Apply","https://www.ebay.com/itm/295122481748",,,"Ships from United States","18 watchers",
,,,,,"Brentwood, California, United States","144438538303",,"100000","US $100,000.00","straight-a-grades",,"","‘09 Bowman Black Stephen Curry RC BGS 9 Mint /48🔥 Steph Rookie High End📈Grail","Sports Trading Card",,"https://www.ebay.com/itm/144438538303",,,"Ships from United States","47 watchers",
,,,,,"Vero Beach, Florida, United States","154890470262",,"89999","US $89,999.00","djgrizzle",,"","2019-20 Panini Flawless Ja Morant RC AUTO RPA  #19/25 PSA 10 POP 2 TRUE RPA 🔥🔥","Sports Trading Card",,"https://www.ebay.com/itm/154890470262",,,"Ships from United States","18 watchers",
,,,,,"New York City, United States","125363273022",,"95000","US $95,000.00","mandlcards",,"","1979 O-Pee-Chee WAYNE GRETZKY Rookie Edmonton Oilers SGC 9","Sports Trading Card",,"https://www.ebay.com/itm/125363273022",,,"Ships from United States","20 watchers",
,,,,,"Oviedo, Florida, United States","154936266513",,"89999","US $89,999.00","dgar6895",,"","2020 Chronicles BLACK PRIZM GOLD VINYL /5 HOLO AUTO RC TUA TAGOVAILOA PSA 9","Sports Trading Card",,"https://www.ebay.com/itm/154936266513",,,"Ships from United States","11 watchers",
,,,,,"Rosemount, Minnesota, United States","125622594376",,"89995","US $89,995.00","spindoctorssportscards_ig",,"","#/100! PSA 8 Auto 9 2000 Press Pass TOM BRADY Gold Standout Signatures","Sports Trading Card",,"https://www.ebay.com/itm/125622594376",,,"Ships from United States",,
,,,,,"Onsted, Michigan, United States","334076987929",,"89999","US $89,999.00","sourced1",,"","2017 BOWMAN CHROME MEGA BOX PROSPECTS SHOHEI OHTANI REFRACTOR 9.5 AUTO /17","Sports Trading Card",,"https://www.ebay.com/itm/334076987929",,,"Ships from United States","28 watchers",
,,,,,"New Castle, Delaware, United States","354301229905",,"90756.99","US $90,756.99","altsourcing",,"","1986 Topps Traded #11T Barry Bonds BGS 10","Sports Trading Card",,"https://www.ebay.com/itm/354301229905",,,"Ships from United States","9 watchers",
,,,,,"Hollywood, Florida, United States","225286566306",,"99000","US $99,000.00","bestsportscardsandcollectables",,"","Walter Payton 1976 Topps Rookie Card RC PSA 10 Gem Mt Tougher New Label Grading","Sports Trading Card",,"https://www.ebay.com/itm/225286566306",,,"Ships from United States","6 watchers",
"1","1 lot available (5 items per lot)",,,,"Scottsdale, Arizona, United States","275312845647",,"90000","US $90,000.00","rarebear86",,"","2012 RUSSELL WILSON rookie  5 Card suite with 3 black labels and 1/1 NFL shield!","Sports Trading Card",,"https://www.ebay.com/itm/275312845647",,,"Ships from United States",,
,,,,,"Cortland, New York, United States","165162098228",,"90000","US $90,000.00","pricejerk",,"","2009 BOWMAN CHROME MIKE TROUT RC AUTO XFRACTOR /225 BGS 9.5/10 GOAT!$$$new pics","Sports Trading Card",,"https://www.ebay.com/itm/165162098228",,,"Ships from United States","15 watchers",
,,,,,"Burlington, North Dakota, United States","394333924974",,"90000","US $90,000.00","brodwolf-0",,"","Trevor Lawrence 1/1 White Sparkle (White Whale) Only 1/1 To Have A Black Auto","Sports Trading Card",,"https://www.ebay.com/itm/394333924974",,,"Ships from United States","10 watchers",
,,,,,"Scottsdale, Arizona, United States","275284931231",,"90000","US $90,000.00","rarebear86",,"","2017  Josh Allen RC rookie Select XRC Tie Dye /25 PSA 10 POP 1!","Sports Trading Card","Does not apply","https://www.ebay.com/itm/275284931231",,,"Ships from United States","8 watchers",
,,,,,"Cypress, Texas, United States","363807135653",,"90000","US $90,000.00","btk_55",,"","2020 Flawless Justin Herbert Rookie Signatures /25 BGS 9.5 Gold Foil Color Match","Sports Trading Card",,"https://www.ebay.com/itm/363807135653",,,"Ships from United States","8 watchers",
,,,,,"Frisco, Texas, United States","255106134776",,"89995","US $89,995.00","opsports77",,"Jordan Hand Numbered - Inflation Play! POP1","RARE Michael Jordan UD 5/5 BECKETT 10 AUTO 9.5 LAST OFF LINE 1/1 INVESTMENT 🚀","Sports Trading Card",,"https://www.ebay.com/itm/255106134776",,,"Ships from United States","10 watchers",
,,,,,"Honolulu, Hawaii, United States","203254280030",,"95000","US $95,000.00","1059coach",,"","2018 JOSH ALLEN PANINI ENCASED BILLS 1/1 BGS 9 MINT W/ 10 AUTO - Pardon My Take","Sports Trading Card",,"https://www.ebay.com/itm/203254280030",,,"Ships from United States","26 watchers",
,,,,,"Mount Laurel, New Jersey, United States","295388249541",,"90000","US $90,000.00","joed70us",,"","Walter Payton RC-  1976 Topps Rookie Card PSA 10 Gem Mt Bears - PSA New Label","Sports Trading Card",,"https://www.ebay.com/itm/295388249541",,,"10 watchers",,
,,,,,"Kapolei, Hawaii, United States","125522700062",,"89999","US $89,999.00","splash_breakers",,"","2013-14 Panini Crusade Stephen Curry #38 Black Prizm True 1/1 BGS 9.5 Gem Mint","Sports Trading Card",,"https://www.ebay.com/itm/125522700062",,,"Ships from United States","6 watchers",
,,,,,"Longwood, Florida, United States","373591209956",,"90000","US $90,000.00","undervaluedgems",,"","EXTREMELY RARE JESSE OWENS 1936 HIGNETT BROS CHAMPIONS OF SPORT RC ROOKIE CARD!","Sports Trading Card","Does not apply","https://www.ebay.com/itm/373591209956",,,"Ships from United States","11 watchers",
,,,,,"Plainfield, Connecticut, United States","134150067588",,"89999.99","US $89,999.99","sjwinnick",,"","2009-10 Topps Chrome Refractor Set STEPHEN CURRY PSA 9 BRYANT PSA 10+JERSEYS","Sports Trading Card","Does not apply","https://www.ebay.com/itm/134150067588",,,"Ships from United States","12 watchers",
,,,,,"Farmingdale, New York, United States","275437531942",,"89999","US $89,999.00","porqchopp66",,"","2017 National Treasures Patrick Mahomes Deshaun Watson 1/1 Dual NFL Logo Shield","Sports Trading Card",,"https://www.ebay.com/itm/275437531942",,,"Ships from United States",,
,,,,,"Quincy, Massachusetts, United States","224566891805",,"89495.95","US $89,495.95","georgpepdjonovi0",,"","1960 Hemmets Journal #23 PSA 6 ROOKIE RC Cassius Clay Muhammed Ali CardScore 67","Sports Trading Card",,"https://www.ebay.com/itm/224566891805",,,"Ships from United States","11 watchers",
,,,,,"Gordonville, Texas, United States","325063077175",,"89999.99","US $89,999.99","kflorenz3odl",,"","1952 Topps Willie Mays (HOF) Rookie Card #261 - PSA 7","Sports Trading Card",,"https://www.ebay.com/itm/325063077175",,,"Ships from United States","44 watchers",
,,,,,"Hopkins, Minnesota, United States","304305634016",,"97750","US $97,750.00","talyho-enterprise",,"","2020-21 Select Anthony Edwards Black Disco Rookie Patch Autograph RPA 1/1 PSA 9","Sports Trading Card",,"https://www.ebay.com/itm/304305634016",,,"Ships from United States","36 watchers",
,,,,,"Burbank, California, United States","165190517283",,"89999","US $89,999.00","signatures.com",,"","2007-08 Topps Chrome Complete Set Xfractors #/50 w/ Durant LeBron Kobe PSA 9","Sports Trading Card",,"https://www.ebay.com/itm/165190517283",,,"Ships from United States","23 watchers",
,,,,,"Boston, Massachusetts, United States","115616777291",,"90000","US $90,000.00","toppsaholic",,"","PSA AUTHENTIC HONUS WAGNER 1909 GERMAN BASEBALL STAMPS ONLY GRADED EXAMPLE TPHLC","Sports Trading Card",,"https://www.ebay.com/itm/115616777291",,,"Ships from United States",,
,,,,,"Oak Ridge, New Jersey, United States","275571383129",,"89000","US $89,000.00","kriskepplersportscards",,"","1952 Bowman Large George Halas Rookie 48 PSA 10  Bears HOF Rookie 10270","Sports Trading Card",,"https://www.ebay.com/itm/275571383129",,,"Ships from United States",,
,,,,,"Monroe Township, New Jersey, United States","165785395082",,"89000","US $89,000.00","uptownsports",,"","2018 TOPPS NOW BLACK & WHITE #692BW SHOHEI OTHANI 1/1 AUTO WITH NON AUTO","Sports Trading Card",,"https://www.ebay.com/itm/165785395082",,,"Returns accepted","Ships from United States",
,,,,,"Oviedo, Florida, United States","275478347790",,"89000","US $89,000.00","finderskeeperstreasurez",,"","2021 National Treasures TREVOR LAWRENCE Ruby Stars & Stripes Swoosh RPA #1/2","Sports Trading Card",,"https://www.ebay.com/itm/275478347790",,,"Ships from United States","13 watchers",
,,,,,"Madison, Wisconsin, United States","165555916455",,"89500","US $89,500.00","bmw_cards2",,"","1936-37 V304 O-Pee-Chee Series D #101 Syl Apps (HOF) Rookie Card SGC 96+ /9 MINT","Sports Trading Card",,"https://www.ebay.com/itm/165555916455",,,"Free shipping and returns","Ships from United States",
,,,,,"Astoria, New York, United States","304198608019",,"89000","US $89,000.00","father-n-son-collecting",,"","2013 Fleer Retro Mike Trout LV1 - Precious Metal Gems - Red PMG - PSA 10! Pop 6","Sports Trading Card",,"https://www.ebay.com/itm/304198608019",,,"Ships from United States","13 watchers",
,,,,,"Beverly Hills, California, United States","403947237261",,"88888.88","US $88,888.88","tmdcollectibles",,"","2018 Bowman Chrome SHOHEI OHTANI GOLD RC Rookie Refractor /50 BGS 9.5 AUTO 10","Sports Trading Card",,"https://www.ebay.com/itm/403947237261",,,"Ships from United States","29 watchers",
,,,,,"San Jose, California, United States","313630757838",,"87999","US $87,999.00","tailback2",,"","2020-21 Prizm LeBron James Kobe Tribute Dunk Bronze Disco /20 Fast Break PSA 10","Sports Trading Card",,"https://www.ebay.com/itm/313630757838",,,"Ships from United States","68 watchers",
"1","1 available",,,,"Auburn, Washington, United States","234163023575",,"88028.9","US $88,028.90","comc_consignment",,"Fulfilled by COMC - World’s largest consignment service","2016 Bowman Chrome Prospects Gold Refractor /50 Fernando Tatis Jr BGS 9 Auto","Sports Trading Card",,"https://www.ebay.com/itm/234163023575",,,"5 watchers",,
,,,,,"Philadelphia, Pennsylvania, United States","185532200680",,"88888","US $88,888.00","jcx13$",,"","1996-1997 E-X2000 Kobe Bryant Credentials RC PSA 8 Only 26 Of 499 Graded Higher!","Sports Trading Card",,"https://www.ebay.com/itm/185532200680",,,"Ships from United States","23 watchers",
,,,,,"home-run FABulous card shop, Hong Kong","144689092058",,"88888","US $88,888.00","home-run",,"","2018-19 Panini Immaculate Ronaldinho 1/1 Nike Tag Patch Auto #One of One BGS 8.5","Sports Trading Card","n/a","https://www.ebay.com/itm/144689092058",,,"Returns accepted","26 watchers",
,,,,,"Ocean City, New Jersey, United States","234814944150",,"88000","US $88,000.00","giambrone123",,"","1949 BOWMAN JACKIE ROBINSON ROOKIE CARD RC   DODGERS LEGEND  HOF   PSA 8    RARE","Sports Trading Card",,"https://www.ebay.com/itm/234814944150",,,"Ships from United States",,
,,,,,"home-run FABulous card shop, Hong Kong","125475938754",,"88888","US $88,888.00","home-run",,"","2018-19 Panini Opulence #106 Luka Doncic 1/1 Platinum RC Rookie Auto #One of One","Sports Trading Card","n/a","https://www.ebay.com/itm/125475938754",,,"Returns accepted","8 watchers",
,,,,,"Blue Springs, Missouri, United States","265878092343",,"87500","US $87,500.00","mssharikaye",,"HOLY GRAIL TREASURE INVESTMENT 1/1","2018 LAMAR JACKSON FLAWLESS RPA 1/1 NFL SHIELD","Sports Trading Card",,"https://www.ebay.com/itm/265878092343",,,"Ships from United States","12 watchers",
,,,,,"Hollywood, Florida, United States","225286568772",,"85000","US $85,000.00","bestsportscardsandcollectables",,"","Michael Jordan 1986 Fleer Rookie Card RC BGS 9.5 Gem Mt Chicago Bulls GOAT!","Sports Trading Card",,"https://www.ebay.com/itm/225286568772",,,"Returns accepted","Ships from United States",
,,,,,"Sarasota, Florida, United States","165178122964",,"89000","US $89,000.00","doggiestyle941",,"","Kevin Durant ROOKIE CARD 2007-2008 TOPPS CHROME ORANGE REFRACTOR RC #131 BGS 9","Sports Trading Card",,"https://www.ebay.com/itm/165178122964",,,"Ships from United States","8 watchers",
,,,,,"San Gabriel, California, United States","255814858222",,"94444.44","US $94,444.44","illpayipromise",,"","DESHAUN WATSON 1 2017 NATIONAL TREASURES RC PATCH 4/25 BGS 9 AUTO 10 Jersey #","Sports Trading Card",,"https://www.ebay.com/itm/255814858222",,,"Ships from United States",,
,,,,,"Cortlandt Manor, New York, United States","293964455106",,"85000","US $85,000.00","sportscardconnoisseur.ig",,"","Fernando Tatis Jr. 2019 Topps Chrome Sapphire Red Ref. #'d/5 RC PSA 10 -Pop1-","Sports Trading Card",,"https://www.ebay.com/itm/293964455106",,,"Ships from United States","122 watchers",
,,,,,"Oak Ridge, New Jersey, United States","304731193157",,"86000","US $86,000.00","kriskepplersportscards",,"","1939 Playball  #92 Ted Williams PSA 8 Red Sox 10539","Sports Trading Card",,"https://www.ebay.com/itm/304731193157",,,"Ships from United States",,
,,,,,"Las Vegas, Nevada, United States","224337845946",,"85995","US $85,995.00","702robtay_2008",,"","JUAN SOTO 2018 TOPPS DYNASTY PATCH AUTO RC SSP #04/10 BGS 9.5/10 *POPULATION: 1*","Sports Trading Card",,"https://www.ebay.com/itm/224337845946",,,"Returns accepted","Ships from United States","23 watchers"
,,,,,"Miami, Florida, United States","275539062458",,"85499.99","US $85,499.99","13alexrodriguez",,"","BLACK LABEL 2022-23 Erling Haaland Topps #PS02 Signed Grade BAS 10 GEM 10 POP 1","Sports Trading Card",,"https://www.ebay.com/itm/275539062458",,,"Ships from United States","5 watchers",
,,,,,"Keller, Texas, United States","403194100463",,"85000","US $85,000.00","card..collector1",,"","2017 Patrick Mahomes Flawless Rookie Patch Auto /15 BGS 9/10!","Sports Trading Card",,"https://www.ebay.com/itm/403194100463",,,"Ships from United States","12 watchers",
,,,,,"Seoul, Korea, South","304665878594",,"85000","US $85,000.00","buybuymj",,"","2006-07 EXQUISITE EMBLEMS AUTO PATCH LEBRON JAMES /15 PSA 7 POP 1 NONE HIGHER","Sports Trading Card",,"https://www.ebay.com/itm/304665878594",,,"32 watchers",,
,,,,,"Madison, Wisconsin, United States","165555910939",,"95000","US $95,000.00","bmw_cards2",,"","1937 V356 World Wide Gum #18 Howie Morenz (Montreal Canadiens) SGC 96 / 9 MINT","Sports Trading Card",,"https://www.ebay.com/itm/165555910939",,,"Free shipping and returns","Ships from United States",
,,,,,"Mesa, Arizona, United States","363555642200",,"85000","US $85,000.00","jebo-6245",,"","2020 National Treasures Football Justin Herbert Rookie Hats Off New Era /3 Bgs 9","Sports Trading Card",,"https://www.ebay.com/itm/363555642200",,,,,
,,,,,"Nolensville, Tennessee, United States","324838772274",,"85000.15","US $85,000.15","sealedcases_on_ig",,"","2017 Select Patrick Mahomes #8/10 GOLD Prizm Die Cut BGS 9.5 GEM 10 Auto 🔥","Sports Trading Card",,"https://www.ebay.com/itm/324838772274",,,"Ships from United States","7 watchers",
,,,,,"Endicott, New York, United States","125567158032",,"85000","US $85,000.00","jeremiamcbrid_0",,"","1985 Star Dlam Dunk Supers 5x7 Michael Jordan 5 of 10","Sports Trading Card",,"https://www.ebay.com/itm/125567158032",,,"Ships from United States",,
,,,,,"New Berlin, Wisconsin, United States","175394321342",,"85000","US $85,000.00","mporter1blue",,"","1968 Topps Roberto Clemente Gem Mint 10 pop 1","Sports Trading Card",,"https://www.ebay.com/itm/175394321342",,,"Ships from United States",,
,,,,,"Miami, Florida, United States","363618651724",,"85000","US $85,000.00","356_m",,"","SGC 4=50 Jose Mendez HOF 1924-25 Aguilitas Segunda Serie #849 Negro Leaguer","Sports Trading Card",,"https://www.ebay.com/itm/363618651724",,,"Ships from United States","5 watchers",
,,,,,"Utica, Michigan, United States","225179842197",,"85000","US $85,000.00","jawbreakers_cardshop",,"","2020 Flawless Silver Justin Herbert RC Patch #15/20 PSA 10 w/ 10 AUTO",,,"https://www.ebay.com/itm/225179842197",,,"Ships from United States",,
,,,,,"Tulsa, Oklahoma, United States","154866395773",,"85000","US $85,000.00","brogcryst",,"","1/1 NFL SHIELD RC PATRICK MAHOMES/DESHAUN WATSON 🚨BGS 9 2017 National Treasures","Sports Trading Card","Does not apply","https://www.ebay.com/itm/154866395773",,,"Ships from United States","13 watchers",
,,,,,"Overland Park, Kansas, United States","284920008887",,"87000","US $87,000.00","ckle1303",,"","2013 Topps Travis Kelce PLATINUM 1/1 PSA 10 - Finest Kelce on the Market!","Sports Trading Card",,"https://www.ebay.com/itm/284920008887",,,"Ships from United States","29 watchers",
,,,,,"Seoul, Korea, South","304549135689",,"85000","US $85,000.00","buybuymj",,"","2019-20 PANINI 1ST YEAR ONE AND ONE GOLD ZION WILLIAMSON RC /10 BGS 10 POP 1","Sports Trading Card",,"https://www.ebay.com/itm/304549135689",,,"48 watchers",,
,,,,,"Arad, Romania","325440080133",,"85000","US $85,000.00","sergiulicag19",,"","2016-17 Panini Black Gold Vintage Maradona Auto Argentina Black Gold 1/1 BGS 8.5","Sports Trading Card",,"https://www.ebay.com/itm/325440080133",,,,,
,,,,,"Redondo Beach, California, United States","164682209200",,"88023.14","US $88,023.14","dozal",,"","2012 Topps Allen & Ginter's Framed Mini Relics Kate Upton BGS Beckett grade 8 $$",,,"https://www.ebay.com/itm/164682209200",,,"Ships from United States","15 watchers",
,,,,,"El Cajon, California, United States","144715649560",,"85000","US $85,000.00","lakesidecoinsandcards",,"","2020 Bowman Sapphire Jeremy Pena RC Rookie Red Auto 3/5 PSA 10 Jersey # Ebay 1/1","Sports Trading Card",,"https://www.ebay.com/itm/144715649560",,,"Ships from United States","49 watchers",
,,,,,"Upland, California, United States","144293815280",,"85000","US $85,000.00","laha_4522",,"","2009-10 Panini Classics 166 STEPHEN CURRY Timeless Tributes Platinum /25 PSA 10","Sports Trading Card",,"https://www.ebay.com/itm/144293815280",,,"Ships from United States","7 watchers",
,,,,,"Capac, Michigan, United States","154836019873",,"85000","US $85,000.00","beezycardbreaks",,"HIGHEST GRADED TRUE GOLD AT TIME OF LISTING","2020 Panini Prizm JOE BURROW GOLD AUTO 8/10 HGA 9.5 Gem Mint Rookie Card RC","Sports Trading Card",,"https://www.ebay.com/itm/154836019873",,,"50 watchers",,
,,,,,"Duluth, Minnesota, United States","324834811122",,"84999","US $84,999.00","ervensd",,"","2018 Panini Flawless Rookie Patch Auto Luka Doncic /25 BGS 9.5 Pop 1 RC SickSubs","Sports Trading Card",,"https://www.ebay.com/itm/324834811122",,,"Ships from United States","48 watchers",
,,,,,"New Castle, Delaware, United States","354314087127",,"84179.99","US $84,179.99","altsourcing",,"","Juan Soto #CPAJS 2016 Bowman Chrome /25 BGS 9.5","Sports Trading Card",,"https://www.ebay.com/itm/354314087127",,,"Ships from United States",,
