"available","availableText","brand","ean","endedDate","itemLocation","itemNumber","mpn","price","priceWithCurrency","seller","sold","subTitle","title","type","upc","url","wasPrice","wasPriceWithCurrency","whyToBuy/0","whyToBuy/1","whyToBuy/2","whyToBuy/3","whyToBuy/4","whyToBuy/5"
,,,,,"Portland, Oregon, United States","255627097628",,"3000","US $3,000.00","smoke87sportscardsllc",,"","2018-19 Panini Select Tie Dye Prizm Oscar Robertson BGS 9.5 w10 On Card Auto /25","Sports Trading Card",,"https://www.ebay.com/itm/255627097628",,,"Ships from United States",,,,,
,,,,,"Park Ridge, Illinois, United States","393391863972",,"3000","US $3,000.00","bisabo0",,"","scottie pippen autograph card","Sports Trading Card",,"https://www.ebay.com/itm/393391863972",,,"Ships from United States",,,,,
,,,,,"San Antonio, Texas, United States","255864355952",,"499","US $499.00US $3,000.00","alamocitysportscollectibles",,"","2021 MICHAEL HARRIS Bowman Chrome Draft Black & White Raywave Auto Beckett 10!!!","Sports Trading Card",,"https://www.ebay.com/itm/255864355952",,,"Ships from United States",,,,,
,,,,,"Glenville, Minnesota, United States","394029102801",,"3000","US $3,000.00","above_it_all-collectibles",,"","2021 Topps Chrome Formula 1 🔥 LEWIS HAMILTON 🔥 PSA 9 GOLD CHECKER FLAG REF","Sports Trading Card",,"https://www.ebay.com/itm/394029102801",,,"Ships from United States",,,,,
,,,,,"Carrollton, Texas, United States","294810803699",,"3000","US $3,000.00","ngnichols1983",,"","2000 Upper Deck Ultimate Victory - Tom Brady - #146 - Rookie - BGS 9","Sports Trading Card",,"https://www.ebay.com/itm/294810803699",,,"Ships from United States","5 watchers",,,,
,,,,,"Tokyo, Japan","165530216815",,"3000","US $3,000.00","showtime_17",,"","【/30 PSA Pop 1 】SHOHEI OHTANI 2014 Serial /30  Red Foil","Sports Trading Card",,"https://www.ebay.com/itm/165530216815",,,"Returns accepted",,,,,
,,,,,"Holtsville, New York, United States","403936830242",,"3000","US $3,000.00","joebellusci-0",,"","Auston Matthews rookie patch auto!!","Sports Trading Card",,"https://www.ebay.com/itm/403936830242",,,,,,,,
,,,,,"Lake Stevens, Washington, United States","174346784984",,"3000","US $3,000.00","eslaves",,"","2019-20 Prizm Mosaic Zion Williamson Nba Debut #269 Orange Fluorescent 8/25 Ssp","Sports Trading Card",,"https://www.ebay.com/itm/174346784984",,,"Ships from United States","11 watchers",,,,
,,,,,"Seattle, Washington, United States","115524854312",,"3000","US $3,000.00","mvccards",,"","2021 Trey Lance Immaculate Eye Black Auto #/10 BGS 8.5/10","Sports Trading Card",,"https://www.ebay.com/itm/115524854312",,,"Ships from United States",,,,,
,,,,,"Hayward, California, United States","175279907299",,"3000","US $3,000.00","imwickedoriginal",,"","GRADED TOM BRADY ROOKIE 2000 SKYBOX DOMINION #234 RC PSA 10 PATRIOTS RARE!","Sports Trading Card",,"https://www.ebay.com/itm/175279907299",,,"Ships from United States",,,,,
,,,,,"Hayward, California, United States","185423684983",,"3000","US $3,000.00","imwickedoriginal",,"","GRADED TOM BRADY ROOKIE 2000 SKYBOX DOMINION #234 RC BGS 9.5 PATRIOTS RARE","Sports Trading Card",,"https://www.ebay.com/itm/185423684983",,,"Ships from United States",,,,,
,,,,,"Hayward, California, United States","175279907300",,"3000","US $3,000.00","imwickedoriginal",,"","GRADED TOM BRADY ROOKIE 2000 SKYBOX DOMINION #234 RC BGS 9.5 PATRIOTS RARE .,.,","Sports Trading Card",,"https://www.ebay.com/itm/175279907300",,,"Ships from United States",,,,,
,,,,,"Hayward, California, United States","185423685001",,"3000","US $3,000.00","imwickedoriginal",,"","GRADED TOM BRADY ROOKIE 2000 SKYBOX DOMINION #234 RC PSA 10 PATRIOTS RARE!!!","Sports Trading Card",,"https://www.ebay.com/itm/185423685001",,,"Ships from United States",,,,,
,,,,,"Hayward, California, United States","185423684985",,"3000","US $3,000.00","imwickedoriginal",,"","GRADED TOM BRADY ROOKIE 2000 SKYBOX DOMINION #234 RC BGS 9.5 PATRIOTS RARE !","Sports Trading Card",,"https://www.ebay.com/itm/185423684985",,,,,,,,
,,,,,"Gainesville, Florida, United States","225203860493",,"3000","US $3,000.00","stop-shop-save7",,"","2018 Panini Kaboom Rob Gronkowski PSA 10 GEM MINT","Sports Trading Card",,"https://www.ebay.com/itm/225203860493",,,"Ships from United States",,,,,
,,,,,"Arlington, Texas, United States","363800513407",,"3000","US $3,000.00","superiorsportsinvestments",,"","Ernie Banks Card 1956 Topps #15 PSA 8 (centered)",,"Does Not Apply","https://www.ebay.com/itm/363800513407",,,"Ships from United States","17 watchers",,,,
,,,,,"Boise, Idaho, United States","324936956097",,"3000","US $3,000.00","2002pad",,"","demaryius thomas rookie auto graded 9.5 10 on card relic numbered 4/25!!","Sports Trading Card",,"https://www.ebay.com/itm/324936956097",,,"Ships from United States",,,,,
,,,,,"Shelbyville, Kentucky, United States","144715443191",,"3000","US $3,000.00","maxmania8cards",,"","1998-99 Skybox Molten Metal Fusion Titanium #50F ANTOINE WALKER /40 PSA 8","Sports Trading Card","Does not apply","https://www.ebay.com/itm/144715443191",,,"Free shipping and returns","Ships from United States","9 watchers",,,
,,,,,"East Boothbay, Maine, United States","325381415029",,"3000","US $3,000.00","nicksneon",,"","Kyle Trask Red Wave PSA 10 Auto 10 🟥Pop 1🟥 2021 Panini Prizm /149","Sports Trading Card",,"https://www.ebay.com/itm/325381415029",,,"Ships from United States",,,,,
,,,,,"New York, New York, United States","144765901904",,"3000","US $3,000.00","igtsportscards",,"","2020 BOWMAN TRANS.COLL. JULIO RODRIGUEZ T/C AUTO. - EMERALD /5","Sports Trading Card",,"https://www.ebay.com/itm/144765901904",,,"Ships from United States",,,,,
,,,,,"Wallingford, Connecticut, United States","225250092812",,"3000","US $3,000.00","jcopp716",,"","2020 Contenders Optic Justin Jefferson Rookie Auto Purple Pulsar /21 SGC 10/10","Sports Trading Card",,"https://www.ebay.com/itm/225250092812",,,"Ships from United States","34 watchers",,,,
,,,,,"Greenville, New York, United States","384779596192",,"3000","US $3,000.00","moneystretchsc",,"","2019 Topps Vladimir Guerrero JR Rookie Short Print AUTO BGS 9.5 #/50 inception","Sports Trading Card",,"https://www.ebay.com/itm/384779596192",,,"Ships from United States",,,,,
,,,,,"Richmond, Kentucky, United States","265548481647",,"3000","US $3,000.00","att10",,"","JOE BURROW TRIPLE PATCH AUTO 18/99 2020 ABSOLUTE RPA ROOKIE PREMIER SGC 10/8.5","Sports Trading Card",,"https://www.ebay.com/itm/265548481647",,,"Ships from United States",,,,,
,,,,,"Southern Pines, North Carolina, United States","225250461610",,"3000","US $3,000.00","estatesales88",,"","2004-2005 FLEER E-XL #9J LEBRON JAMES JAMBALAYA SGC 7 VERY RARE LOW POP",,,"https://www.ebay.com/itm/225250461610",,,"Ships from United States","6 watchers",,,,
