"available","availableText","brand","ean","endedDate","itemLocation","itemNumber","mpn","price","priceWithCurrency","seller","sold","subTitle","title","type","upc","url","wasPrice","wasPriceWithCurrency","whyToBuy/0","whyToBuy/1","whyToBuy/2","whyToBuy/3"
,,,,,"Barrington, Illinois, United States","184660936495",,"999.99","US $999.99","annikallc",,"","1997 Upper Deck Michael Jordan Air Time Departure Chicago Bulls # AT7 PSA 10","Sports Trading Card",,"https://www.ebay.com/itm/184660936495",,,"Ships from United States",,,
,,,,,"Barrington, Illinois, United States","184660957451",,"999.99","US $999.99","annikallc",,"","2008-09 SP Authentic Retail Michael Jordan Authentic Profiles PSA Gem Mint 10","Sports Trading Card",,"https://www.ebay.com/itm/184660957451",,,"Ships from United States",,,
,,,,,"Katy, Texas, United States","295215206512",,"1000","US $1,000.00","timo_todd",,"","Michael Toglia RC Auto SP /99 Pristine BGS 10 2019 Rookie 1 Autograph Sign Green","Sports Trading Card",,"https://www.ebay.com/itm/295215206512",,,,,,
,,,,,"Frisco, Texas, United States","354332018522",,"1000","US $1,000.00","daver_jones",,"","2020 Panini Select Anthony Edwards Blue Disco Prizm #/25 PSA 9 None Higher","Sports Trading Card",,"https://www.ebay.com/itm/354332018522",,,"Ships from United States",,,
,,,,,"Huntingdon Valley, Pennsylvania, United States","234509464617",,"995.95","US $995.95","eeobe08",,"","Jason Kidd 1994-1995 Upper Deck SP Buyback Autograph Rookie RC #/33 BGS AUTO 10","Sports Trading Card",,"https://www.ebay.com/itm/234509464617",,,"Returns accepted","Ships from United States","6 watchers",
,,,,,"Huntingdon Valley, Pennsylvania, United States","234552731538",,"995.95","US $995.95","eeobe08",,"","Edgerrin James 1999 Bowmans Best Atomic Refractor Autograph RC #/100 PSA 9 POP 1","Sports Trading Card",,"https://www.ebay.com/itm/234552731538",,,"Returns accepted","Ships from United States",,
,,,,,"Great Falls, Montana, United States","363949458259",,"1000","US $1,000.00","heatree_9",,"","2009 Rookie card Steph Curry Donruss Elite Passing The Torch Gold #10 /100 PSA 9","Sports Trading Card",,"https://www.ebay.com/itm/363949458259",,,"Ships from United States",,,
,,,,,"Huntingdon Valley, Pennsylvania, United States","234781161643",,"995.95","US $995.95","eeobe08",,"","Allen Iverson 1998 Skybox Soul Of Game Signed Autograph AUTO PSA/DNA 9 POP 1 BGS","Sports Trading Card",,"https://www.ebay.com/itm/234781161643",,,"Returns accepted","Ships from United States",,
,,,,,"Huntingdon Valley, Pennsylvania, United States","234552738594",,"995.95","US $995.95","eeobe08",,"","Edgerrin James 1999 Topps Finest Gold Refractor Autograph RC /100 PSA/DNA 9 POP1","Sports Trading Card",,"https://www.ebay.com/itm/234552738594",,,"Returns accepted","Ships from United States",,
,,,,,"New Braunfels, Texas, United States","403775878433",,"1000","US $1,000.00","wt8ss52",,"","2021 Encased Sapphire Signatures Justin Herbert Auto /25 BGS 9.5 Auto 10","Sports Trading Card",,"https://www.ebay.com/itm/403775878433",,,"Ships from United States","12 watchers",,
,,,,,"Huntingdon Valley, Pennsylvania, United States","234593120463",,"995.95","US $995.95","eeobe08",,"","Jerry Sloan 1970-1971 Topps Rookie Signed Autograph AUTO RC PSA/DNA 8 POP 2 JAZZ","Sports Trading Card",,"https://www.ebay.com/itm/234593120463",,,"Returns accepted","Ships from United States",,
,,,,,"Lake Ariel, Pennsylvania, United States","324335644394",,"999.95","US $999.95","fishboy-1970",,"","🔥2018 PANINI CONTENDERS OPTIC Josh Rosen Red /99 RC AUTO BGS 10 🔥PRISTINE 🔥🏈","Sports Trading Card",,"https://www.ebay.com/itm/324335644394",,,"Ships from United States",,,
,,,,,"San Antonio, Texas, United States","385125054359",,"1000","US $1,000.00","sportscards-3295",,"","2020-21 Panini Select Gold Prizm Rookie Selections Desmond Bane RC 2/10 PSA 10","Sports Trading Card",,"https://www.ebay.com/itm/385125054359",,,"Ships from United States","10 watchers",,
"2","2 available",,,,"Katy, Texas, United States","295231526338",,"1000","US $1,000.00","timo_todd",,"","George Springer RC Auto PSA 9 2011 Bowman Rookie Autograph Pop 3 Astros Jays","Sports Trading Card",,"https://www.ebay.com/itm/295231526338",,,"Ships from United States",,,
,,,,,"Keller, Texas, United States","234630955198",,"1000","US $1,000.00","dragonbreathefire78",,"","National Treasures Century Materials Cowboys Tom Landry 3/3  2016 BGS 9","Sports Trading Card",,"https://www.ebay.com/itm/234630955198",,,"Ships from United States",,,
,,,,,"Arlington, Texas, United States","225174334133",,"1000","US $1,000.00","matthehough-anderso_0",,"","ERNIE BANKS 1999 Topps Stars 1954 RC Rookie REPRINT Signature BGS 9.5 / 10 AUTO","Sports Trading Card",,"https://www.ebay.com/itm/225174334133",,,"Ships from United States","5 watchers",,
,,,,,"Dallas, Texas, United States","175362171689",,"1000","US $1,000.00","evilla_28",,"","Luka Doncic Contenders Optic Blue Cracked Ice Lottery RC Beckett 8.5 Rare 💎","Sports Trading Card",,"https://www.ebay.com/itm/175362171689",,,"Ships from United States",,,
,,,,,"San Antonio, Texas, United States","394296741423",,"1000","US $1,000.00","wilsp_8140",,"","2016 PANINI PRIZM #231 DAK PRESCOTT RC BLUE WAVE   058/149   PSA 10 GEM MINT",,,"https://www.ebay.com/itm/394296741423",,,"Ships from United States",,,
,,,,,"Celina, Texas, United States","265953567045",,"1000","US $1,000.00","galaxycardrips",,"","2020 Panini Select Jalen Hurts Auto /49 Light Blue PSA9 Rookie Signatures Eagles","Sports Trading Card",,"https://www.ebay.com/itm/265953567045",,,"Ships from United States",,,
"5","5 available",,,,"Katy, Texas, United States","295291375798",,"1000","US $1,000.00","timo_todd",,"","Juan Soto RC PSA 10 Rookie 1 Card 2019 Topps Chrome Refractor Pop Mint Nationals","Sports Trading Card",,"https://www.ebay.com/itm/295291375798",,,"Ships from United States",,,
,,,,,"Aledo, Texas, United States","314198822297",,"1000","US $1,000.00","therealpackboy",,"","RJ Barrett Donruss Optic Choice Dragon Scale BGS 9.5 🐲🐲🐲 Knicks!!!","Sports Trading Card",,"https://www.ebay.com/itm/314198822297",,,"Ships from United States",,,
,,,,,"Huntingdon Valley, Pennsylvania, United States","234754633362",,"995.95","US $995.95","eeobe08",,"","Vladimir Guerrero Jr 2017 Bowmans Best Top Prospect Rookie RC BGS 10 Black Label","Sports Trading Card",,"https://www.ebay.com/itm/234754633362",,,"Returns accepted","Ships from United States",,
"2","2 available",,,,"Indiana, United States","233483167519",,"999.97","US $999.97","saltytheseagulljr",,"","1999 Fleer Focus (Glimmer Men) Edgerrin James (HOF) (#07) PSA10 PSA",,,"https://www.ebay.com/itm/233483167519",,,"Ships from United States",,,
,,,,,"Navasota, Texas, United States","195239466841",,"1000","US $1,000.00","santi729",,"","2018 Panini Chronicle Shohei Ohtani #23 Prizm Ruby Wave 68/199 PSA 10 Gem Angels","Sports Trading Card",,"https://www.ebay.com/itm/195239466841",,,"Ships from United States",,,
,,,,,"Katy, Texas, United States","295066792281",,"1000","US $1,000.00","timo_todd",,"","Marlin Briscoe RC 1972 Rookie Card Auto Photo Broncos Bills 1st NFL Black QB","Sports Trading Card",,"https://www.ebay.com/itm/295066792281",,,"Ships from United States",,,
,,,,,"San Antonio, Texas, United States","394307523876",,"1000","US $1,000.00","wilsp_8140",,"","2020 Panini Prizm Lebron James Hyper Prizm Kobe Tribute #1 Gem PSA 10 Low Pop 15","Sports Trading Card",,"https://www.ebay.com/itm/394307523876",,,"11","Watchers",,
,,,,,"Lake Ariel, Pennsylvania, United States","324312675534",,"999.95","US $999.95","fishboy-1970",,"","2017 Mitchell Trubisky Contenders Rookie Ticket 🔥 RC AUTO 🏈 CHICAGO BEARS!!","Sports Trading Card",,"https://www.ebay.com/itm/324312675534",,,"Ships from United States",,,
,,,,,"Huntingdon Valley, Pennsylvania, United States","234745568809",,"995.95","US $995.95","eeobe08",,"","Allen Iverson 1996 Topps Draft Redemption Signed Autograph RC JSA BGS 8 AUTO 10","Sports Trading Card",,"https://www.ebay.com/itm/234745568809",,,"Returns accepted","Ships from United States",,
,,,,,"Dallas, Texas, United States","403965176898",,"1000","US $1,000.00","reecerabin31",,"","Kyle Tucker 2019 Topps Chrome Freshman Flash SUPERFRACTOR RC 1/1 BGS RAWREVIEW 9","Sports Trading Card",,"https://www.ebay.com/itm/403965176898",,,,,,
,,,,,"Oklahoma City, Oklahoma, United States","185551119211",,"1000","US $1,000.00","brutal_sports_cards",,"","2021 Javonte Williams Prizm Blue Shimmer Auto Rookie Card /25 PSA 10 1/1!!!","Sports Trading Card",,"https://www.ebay.com/itm/185551119211",,,"Ships from United States","16 watchers",,
,,,,,"Weston, Connecticut, United States","224363294044",,"999.95","US $999.95","jea2880",,"","1909-11 T206 Rube Marquard Hands at Thighs EX PSA 5 - Sweet Caporal Back HOF","Sports Trading Card","Does not apply","https://www.ebay.com/itm/224363294044",,,"Ships from United States","5 watchers",,
,,,,,"Kalispell, Montana, United States","385257812077",,"1000","US $1,000.00","antmei_11",,"Auto10! Pop1!","2020 Crown Royale Crown Auto Die Cut Autograph Anthony Edwards #/49 Psa10!","Sports Trading Card",,"https://www.ebay.com/itm/385257812077",,,"Ships from United States",,,
,,,,,"Bentonville, Arkansas, United States","115471771987",,"1000","US $1,000.00","vivaschumacher",,"","2020 Topps Chrome Sapphire F1 Pierre Gasly  70th anniv PSA 9MINT 24/70","Sports Trading Card",,"https://www.ebay.com/itm/115471771987",,,"Ships from United States",,,
,,,,,"Huntingdon Valley, Pennsylvania, United States","234155301586",,"995.95","US $995.95","eeobe08",,"","Cal Ripken Jr 1982 Topps Triple Signed Rookie Autograph AUTO RC PSA/DNA 7 MLBCOA","Sports Trading Card",,"https://www.ebay.com/itm/234155301586",,,"Returns accepted","Ships from United States",,
,,,,,"Keller, Texas, United States","363960256612",,"1000","US $1,000.00","k.p.collectibles1",,"","DE'AARON FOX 2017/18 TOTALLY CERTIFIED RC ROOKIE HOLO BLUE 1/1 BGS 9.5 GEM MINT","Sports Trading Card",,"https://www.ebay.com/itm/363960256612",,,"Ships from United States",,,
,,,,,"Lake Ariel, Pennsylvania, United States","323995592918",,"999.95","US $999.95","fishboy-1970",,"","2017 Mitchell Trubisky Contenders Rookie Ticket 🔥 RC AUTO 🏈 CHICAGO BEARS!!","Sports Trading Card",,"https://www.ebay.com/itm/323995592918",,,"Ships from United States",,,
,,,,,"Kyle, Texas, United States","204169222210",,"1000","US $1,000.00","usjess512",,"","Brenden Aaronson 2020 Topps On Demand Bowman MLS Yellow #7 /75 Leeds USA PSA 9","Sports Trading Card",,"https://www.ebay.com/itm/204169222210",,,,,,
,,,,,"Olathe, Kansas, United States","155174574317",,"1000","US $1,000.00","317_finds",,"","2020 Panini Obsidian RC Mohammed Kudus Rookie SP /30 SGC 9","Sports Trading Card",,"https://www.ebay.com/itm/155174574317",,,"Ships from United States",,,
,,,,,"San Antonio, Texas, United States","175472093830",,"1000","US $1,000.00","bundrodne-0",,"","Pedri 2020-21 Panini Mosaic La Liga SP RC Purple /49 Gem Mint PSA 10","Sports Trading Card",,"https://www.ebay.com/itm/175472093830",,,"Ships from United States",,,
,,,,,"Venus, Texas, United States","165111669176",,"995.95","US $995.95","dallascowboys1184",,"","2000 Skybox Dominion Extra Tom Brady BGS 9.5","Sports Trading Card",,"https://www.ebay.com/itm/165111669176",,,"Ships from United States","5 watchers",,
,,,,,"San Antonio, Texas, United States","385145361021",,"1000","US $1,000.00","jonjenkins12",,"","#236 DEJOUNTE MURRAY ORANGE PRIZM (17/49) RC 2016 - PSA GRADE 9","Sports Trading Card",,"https://www.ebay.com/itm/385145361021",,,"Ships from United States","5 watchers",,
,,,,,"Garland, Texas, United States","175521960255",,"1000","US $1,000.00","fochyflips",,"","STEPHEN CURRY 2019-20 PANINI MOSAIC KOBE PURPLE GOLD SNAKESKIN PRIZM # /20 PSA 9",,,"https://www.ebay.com/itm/175521960255",,,"Ships from United States",,,
,,,,,"Edmond, Oklahoma, United States","354367172876",,"1000","US $1,000.00","kague20",,"","2020-21 Panini Prizm Cole Anthony Rookie Signatures PSA 10 GEM MINT Auto 10 pop3","Sports Trading Card",,"https://www.ebay.com/itm/354367172876",,,"Ships from United States",,,
,,,,,"Schertz, Texas, United States","185642137191",,"1000","US $1,000.00","lsulsutigers7",,"","2009 SP Authentic PEYTON MANNING Chirography Auto  HOF SP BECKETT 9.5 G M","Sports Trading Card",,"https://www.ebay.com/itm/185642137191",,,"Ships from United States",,,
,,,,,"Mesquite, Texas, United States","325352311423",,"1000","US $1,000.00","brendsort8",,"","2020 Panini Mosaic Anthony Edwards Fusion Red Yellow Choice RC /88 PSA 10","Sports Trading Card",,"https://www.ebay.com/itm/325352311423",,,"Ships from United States",,,
,,,,,"Edinburg, Texas, United States","385278580235",,"1000","US $1,000.00","vicpabsports",,"","2017-18 Select Arturo Vidal Kaboom! Kaboom SP #15 PSA 10 CHILE","Sports Trading Card",,"https://www.ebay.com/itm/385278580235",,,,,,
,,,,,"Huntingdon Valley, Pennsylvania, United States","234482822854",,"995.95","US $995.95","eeobe08",,"","Walt Frazier 1969 Topps Signed Autograph Rookie RC JSA BGS 5.5 AUTO 9 (3 Insc.)","Sports Trading Card",,"https://www.ebay.com/itm/234482822854",,,"Returns accepted","Ships from United States",,
,,,,,"Longview, Texas, United States","394273537711",,"1000","US $1,000.00","cardslinger09",,"","MAC JONES 2021 PANINI MOSAIC #5 RARE BLUE CHIPS GOLD PRIZM ROOKIE #01/10 PSA 9","Sports Trading Card","Does Not Apply","https://www.ebay.com/itm/394273537711",,,"Ships from United States",,,
,,,,,"Katy, Texas, United States","295294794971",,"1000","US $1,000.00","timo_todd",,"","Bryce Harper RC 2011 Bowman 1 Rookie Card PSA 9 MInt Nationals Phillies Pop","Sports Trading Card",,"https://www.ebay.com/itm/295294794971",,,"Ships from United States",,,
