"available","availableText","brand","ean","endedDate","image","itemLocation","itemNumber","mpn","price","priceWithCurrency","seller","sold","subTitle","title","type","upc","url","wasPrice","wasPriceWithCurrency","whyToBuy/0","whyToBuy/1","whyToBuy/2"
,,,,,,"Boise, Idaho, United States","155025112915",,"6999.99","US $6,999.99","freedomcardgrading",,"","1986 Fleer Michael Jordan RC #57 Graded FCGS 9 (PD) MINT!!! S208","Sports Trading Card",,"https://www.ebay.com/itm/155025112915",,,"Returns accepted","Ships from United States","10 watchers"
,,,,,,"Flemington, New Jersey, United States","363980847471",,"6999.99","US $6,999.99","nc-vintage",,"","1933 Goudey #160 Lou Gehrig New York Yankees SGC 3 VG","Sports Trading Card",,"https://www.ebay.com/itm/363980847471",,,"Ships from United States","29 watchers",
,,,,,,"Dublin, Pennsylvania, United States","195406995488",,"6999.99","US $6,999.99","thewizardscollectables",,"","2017 Panini Prizm PATRICK MAHOMES Rookie RC BLIE WAVE #/149 Graded CSG 9.5","Sports Trading Card","Does not apply","https://www.ebay.com/itm/195406995488",,,"6 watchers",,
,,,,,,"Flemington, New Jersey, United States","204030675293",,"6999.99","US $6,999.99","nc-vintage",,"","1909-11 T206 Johnny Evers With Bat Chicago Cubs Broad Leaf PSA 1 PR *VERY RARE*","Sports Trading Card",,"https://www.ebay.com/itm/204030675293",,,"Ships from United States","23 watchers",
,,,,,,"Algarve, Spain","325223820040",,"7000","US $7,000.00","sofia040711",,"","LIONEL MESSI BECKETT 8,5 2004 PANINI STICKERS ROOKIE COLECCIONES ESTE BARCELONA","Sports Trading Card",,"https://www.ebay.com/itm/325223820040",,,"10 watchers",,
,,,,,,"default, Hong Kong","184803074115",,"6999","US $6,999.00","coolerman2017",,"","Jordan Love 2020 Contenders Rookie Ticket Red Zone Variation Auto PSA 10 POP 1","Sports Trading Card","Does not apply","https://www.ebay.com/itm/184803074115",,,"Returns accepted","10 watchers",
,,,,,,"Warminster, Pennsylvania, United States","265188539069",,"6999","US $6,999.00","docbri2",,"","2018-19 Select Tie-Dye Prizm Trae Young AUTO Rookie Signatures 6/25 BGS 9.5 RC","Sports Trading Card",,"https://www.ebay.com/itm/265188539069",,,"Ships from United States",,
,,,,,,"Salina, Kansas, United States","185530064881",,"7000","US $7,000.00","k-state7",,"","Tyreek Hill graded 9 &10Rookie Auto Cracked Ice #ed 01/24 2016 Panini Contenders","Sports Trading Card",,"https://www.ebay.com/itm/185530064881",,,"Ships from United States",,
,,,,,,"Grand- Barachois, NB, Canada","394337608527",,"9500","C $9,500.00","joejon77",,"Psa 10 card 10 auto Pop 1 - HUGE PC card","12-13 Sp Authentic Gretzky Orr Dual Auto SOTT Team Canada SSP PSA 10 Gem Pop 1","Sports Trading Card",,"https://www.ebay.com/itm/394337608527",,,"9 watchers",,
,,,,,,"Portage, Wisconsin, United States","125366904463",,"6999.99","US $6,999.99","chaguana",,"","PSA 10 PATRICK MAHOMES II 2017 Prizm 269 Silver Rookie (( Mike Baker )) CENTERED","Sports Trading Card",,"https://www.ebay.com/itm/125366904463",,,"Ships from United States",,
